candidate,depth,learning_rate,l2_leaf_reg,iterations,folds,forecast_hours,pinball_loss,baseline_pinball_loss,pinball_difference,relative_improvement,fold_pinball_mean,fold_pinball_std,median_mae,median_bias,coverage_90,mean_width_90,invalid_90_intervals,mean_absolute_calibration_error,quantile_crossings,fit_seconds
depth3_lr0p08_l25_trees125,3,0.08,5,125,12,8760,8.372673059,10.12119321,-1.748520148,0.1727583015,8.347675977,4.419977507,22.99749977,4.358412616,0.8182648402,80.95622411,0,0.1335349384,2849,114.9422897
depth3_lr0p08_l21_trees125,3,0.08,1,125,12,8760,8.374550335,10.12119321,-1.746642871,0.1725728218,8.349134139,4.414263603,22.94543494,3.997247762,0.8191780822,80.66830838,0,0.1350427102,2453,114.9439698
depth4_lr0p08_l25_trees100,4,0.08,5,100,12,8760,8.393391966,10.12119321,-1.727801241,0.1707112201,8.368379832,4.532611831,23.01170721,5.690196637,0.7992009132,77.52218157,0,0.1249907753,1945,132.5988503
depth4_lr0p08_l220_trees75,4,0.08,20,75,12,8760,8.406548206,10.12119321,-1.714645,0.1694113496,8.388239487,4.473721983,23.21132907,6.948957323,0.8309360731,80.82824016,0,0.123798441,1225,130.2365887
depth4_lr0p08_l220_trees100,4,0.08,20,100,12,8760,8.408935042,10.12119321,-1.712258165,0.1691755241,8.386582452,4.530808082,23.11992623,5.97693506,0.8111872146,78.37711512,0,0.1299246806,2325,130.2365887
depth3_lr0p08_l21_trees100,3,0.08,1,100,12,8760,8.416230409,10.12119321,-1.704962797,0.1684547229,8.393168795,4.405587975,23.27290599,5.446272162,0.8292237443,82.42419583,0,0.1299548453,1158,114.9439698
depth4_lr0p08_l25_trees75,4,0.08,5,75,12,8760,8.4353151,10.12119321,-1.685878107,0.1665691062,8.417520723,4.457544077,23.28735267,6.662303995,0.8230593607,80.49556985,0,0.1251781283,706,132.5988503
depth3_lr0p08_l220_trees125,3,0.08,20,125,12,8760,8.460652039,10.12119321,-1.660541168,0.1640657513,8.43789922,4.430532567,23.19830174,4.238373812,0.8139269406,80.43980516,0,0.1386283843,2061,114.2750808
depth4_lr0p08_l220_trees125,4,0.08,20,125,12,8760,8.48305959,10.12119321,-1.638133616,0.1618518274,8.454414053,4.615990251,23.11214442,4.620017963,0.7818493151,74.89146853,0,0.1371356026,4292,130.2365887
depth3_lr0p08_l220_trees100,3,0.08,20,100,12,8760,8.528535281,10.12119321,-1.592657926,0.1573587119,8.515341847,4.393236796,24.00552181,6.829385632,0.8302511416,82.93844415,0,0.131256169,1032,114.2750808
